"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COPYRIGHT";"CREATED_BY";"CTR-MAX";"CTR-MIN";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"IF";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"SPICEPREFIX";"TC-CTR";"TP_SIGNAL_NAME";"VALUE";"VCE";"VISO";
"1";"FAN_1";"PINHD-1X2";"1X02";"FAN_1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"1";"FAN_2";"PINHD-1X2";"1X02";"FAN_2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"1";"FAN_3";"PINHD-1X2";"1X02";"FAN_3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"2";"FDD4141TO252";"FDD4141TO252";"TO252";"Q1, Q8";"P-Channel PowerTrench® MOSFET";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";
"1";"FPS009-3000";"FPS009-3000";"FPS009-3000";"X5";"SD Card and MMC Reader (Manual Insertion)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GPS MODULE";"PINHD-1X5";"1X05";"GPS";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";"";"";
"1";"LIDAR";"PINHD-1X8";"1X08";"LIDAR";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67";"";"";"";"";"";"";"";"";"";"";
"1";"LIMIT_SWITCH_BOTTOM_MAGNETIC";"PINHD-1X3";"1X03";"LIMIT_SWITCH_DOWN";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"LIMIT_SWITCH_UPPER_MAGNETIC";"PINHD-1X3";"1X03";"LIMIT_SWITCH_UP";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"MAIN SWITCH";"PINHD-1X4";"1X04";"MAIN_SWITCH";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"MICROUSB";"MICROUSB";"MOLEX_47642-0001";"MICROUSB";"Micro-USB B Receptacle, Mid-Mount, with Through Hole Solder Tab, Gold (Au) Flash Plating, without Mylar, Lead-Free Check availability";"";"";"In Stock";"";"";"";"";"";" USB - micro B - Receptacle Connector 5 Position Board Edge, Cutout";" Surface Mount, Right Angle ";"";"";"";"";"";"";"Molex";"";"";"";"";"47642-0001";"";"";"";"None";"";"";"None";"";"https://pricing.snapeda.com/search/part/47642-0001/?ref=eda";"";"";"";"";"";"";
"2";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"BOOT, EN";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" SWCH-08441";"";"COM-00097";"";"";"";"";"";"";
"1";"MOTOR DRIVER UART RX SWITCH";"PINHD-1X3";"1X03";"MCU_1_UART_RX_SWITCH";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"1";"MOTOR DRIVER UART TX SWITCH";"PINHD-1X3";"1X03";"MCU_1_UART_TX_SWITCH";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"92";"";"";"";"";"";"";"";"";"";"";
"6";"MOUNT-PAD-ROUND3.0";"MOUNT-PAD-ROUND3.0";"3,0-PAD";"H1, H2, H3, H4, H5, H6";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";
"1";"MP005244 16V 12A";"0ZCF0075AF2C";"FUSE_0ZCF0075AF2C";"PPTC";"PTC Resettable Fuse 0.75A(hold) 1.5A(trip) 60VDC 40A 1.5W 0.3s 0.18Ohm SMD Solder Pad 7.98 X 5.44 X 1.15mm T/R Check availability";"";"";"In Stock";"";"";"";"";"";" 2920 SMT PPTC | 0.75 Ih | 603V ";"";"";"";"";"";"";"Bel Fuse";"";"";"";"";"0ZCF0075AF2C";"";"";"";"2920 Bel Fuse";"";"";"None";"";"https://pricing.snapeda.com/search/part/0ZCF0075AF2C/?ref=eda";"";"";"";"";"";"";"";
"3";"MP6500";"MP6500";"QFN65P500X500X100-25N";"SD1, SD2, SD3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MPU-6050";"MPU-6050";"24-VFQFN";"U5";"IMU ACCEL/GYRO 3-AXIS I2C 24QFN";"";"";"";"";"PCBLayout.com";"";"";"";"";"1428-1007-1-ND";"";"";"TDK InvenSense";"";"";"";"";"";"";"";"";"MPU-6050";"";"";"24-VFQFN";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PER.WIRE SENSE";"PINHD-1X4";"1X04";"PERIMETER_WIRE";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"PHOTORESISTOR LDR5549";"PINHD-1X2";"1X02";"LIGHT_SENSOR";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"1";"PIC18F47J13-I/PT";"PIC18F47J13-I/PT";"TQFP44_10X10MC_MCH";"U1";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"";"";"";"pic18f47j13-i/pt";"";"Microchip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PIC24FJ32GA002-X";"PIC24FJ32GA002-X";"SPDIP28_300MC";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PIC32MK1024MCM064-I/PTTQFP64_PT_MCH";"PIC32MK1024MCM064-I/PTTQFP64_PT_MCH";"TQFP64_PT_MCH";"U15";"";"";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"";"";"";"";"PIC32MK1024MCM064-I/PT";"";"Microchip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
